,LINK_SP,PRODUCT_INFO_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,COMMISSION_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD
84,/input/mobile_images/2024/2/17/855/CAMERA TRONG NHÀ HC23.png,571634,Thiết bị Camera,ITCAM000071,,,,,,,,,,,,Camera trong nhà HC23,"Thông tin: Độ phân giải Full HD 2Mpx (1920 x 1080) Hỗ trợ hồng ngoại lên tới khoảng cách 10m Tính năng đàm thoại 02 chiều (02 way talking) Tự động xoay 360 độ, bám theo mọi chuyển động. Hình ảnh sắc nét, công nghệ nén hình ảnh theo chuẩn H.265 Gọi điện khẩn cấp SOS từ Camera lên ứng dụng Viettel Home Công nghệ AI thông minh phân biệt giữa người và vật, giảm cảnh báo giả. Cài đặt Camera báo động bằng nhiều âm thanh khác nhau khi phát hiện người, chuyển động. 
Bảo hành:12 tháng tại các cửa hàng Viettel
giá: 547000",547000,65
85,/input/mobile_images/2024/2/17/48/CAMERA NGOÀI TRỜI HC33.png,571635,Thiết bị Camera,ITCAM000072,,,,,,,,,,,,Camera ngoài trời HC33,"Thông tin: Độ phân giải Full HD 2Mpx (1920 x 1080) Hỗ trợ hồng ngoại lên tới khoảng cách 30m Công nghệ nén hình ảnh theo chuẩn H.265 Khả năng chống nước, bụi IP67 Tích hợp công nghệ AI cho phép phân biệt chuyển động của con người với vật, giảm cảnh báo giả. Hình ảnh quan sát có màu vào ban đêm Tính năng đàm thoại 2 chiều trực tiếp. Có đèn và còi báo động khi phát hiện chuyển động vào ban đêm. 
Bảo hành: 12 tháng tại các cửa hàng Viettel
giá: 754000",754000,88
88,/input/mobile_images/2024/2/18/534/WEBCAM HỘI NGHỊ MAXHUBUC UC W21.png,577866,Thiết bị Webcam,ITICT003633,,,,,,,,,,,,"Webcam 4k, góc nhìn 120 độ UC W21","
• Độ phân giải: Ultra HD 4K @ 25fps 
• Góc nhìn: 120° DFoV 
• Công nghệ: HDR Mảng Mic 2 phần tử; HDR Lấy nét tự động 
• Thuật toán giảm nhiễu: 2D & 3D DNR 
• Ống kính: chữ T 
• Xoay ngang: 360° 
• Điều chỉnh góc khác nhau: ≤10 ° 
• Kết nối cổng: TypeC
giá: 3799620",3799620,33
90,/input/mobile_images/2024/2/18/239/WEBCAM MAXHUB UC W10 .png,577876,Thiết bị Webcam,ITICT003631,,,,,,,,,,,,Webcam Maxhub 1080 UC W10,"
• Độ phân giải: 1080p/30fps 
• Định dạng xuất: MJPG, H.264 & YUY2 
• Tích hợp: 2 micro với khả năng thu lên đến 4 mét 
• Công nghệ: 3D-DNR 
• Chất lượng hiệu suất: 20 LUX 
• Kết nối: Type-C 
• Giao thức tiêu chuẩn: UAC và UVC 
• Tương thích: với nhiều phần mềm Zoom, Microsoft Teams, Skype,... 
• Góc rộng: 71° 
• Trọng lượng: 68g
giá: 1266540",1266540,17
89,/input/mobile_images/2024/2/18/458/WEBCAM HỘI NGHỊ MAXHUBUC UC W20.png,577865,Thiết bị Webcam,ITICT003632,,,,,,,,,,,,"Webcam 4k, góc nhìn 80 độ UC W20","
• Chất lượng: 4k @ 30fps 
• Hình ảnh: 30fps 4K hoặc 720p Ultra HD 
• Công nghệ: DNR 2D & 3D Lấy nét tự động 
• Ống kính: chữ T 
• Xoay ngang: 360 ° 
• Điều chỉnh góc khác nhau: ≤10 ° 
• Kết nối: USB TypeC 
• Tính năng nén video: H.264 
• Cảm biến: 13MP 
• Trường nhìn: 80 độ
giá: 3215080",3215080,21
87,/input/mobile_images/2024/2/18/856/WEBCAM HỘI NGHỊ MAXHUBUC S05 ALLINONE.png,577819,Thiết bị Webcam,ITICT003634,,,,,,,,,,,,"USB, camera hội nghị 4k, tích hợp mic và loa UC S05","
• Độ phân giải: FPS 4k Ultra-HD 
• Góc nhìn: 120° 
• Khả năng Zoom: lên đến 15x 
• Kết nối: USB-C Camera tích hợp Micro 
• Tích hợp: 6 micro array 
• Phạm vi hoạt động của loa: 8m - thích hợp cho phòng họp lớn 
• Công suất loa: 8W 
• Cảm biến: 12MP 1/2.3inch
giá: 10911780",10911780,18
86,/input/mobile_images/2024/2/18/267/LOA MAXHUB BM 20 (1).png,577863,Thiết bị Webcam,ITICT003636,,,,,,,,,,,,Bluetooth mic và loa BM20,"
• Số micro: 6 Micro đa hướng 
• Xoay ngang: 360 ° 
• Khoảng cách bắt: 4m 
• Loa: 1 Loa 5W 
• Pin sạc: 2200mAh 
• Thời gian sử dụng: 8 giờ 
• Kết nối: USB Type C/ Audio Cable/ Bluetooth (USB Dongle Option) 
• Đường kính x Chiếu cao: 120 x 35mm 
• Trọng lượng: 380g 
• Màu: Dark Gray 
• Chất liệu vỏ: Kim loại
giá: 3604810",3604810,17
