,LINK_SP,PRODUCT_INFO_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,COMMISSION_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD
0,/input/mobile_images/2023/12/28/148/BÀN ỦI KHÔ BLUESTONE DIB-3726.png,509295,Bàn là,M&EBL100021,309100,340010,3091,Giá trị đơn hàng > 10 triệu,315800,347380,6316,Giá trị đơn hàng từ 5-10 triệu,342600,376860,"19185,6",Bàn Ủi Khô Bluestone DIB-3726 1300W,"
• Công suất: 1300W 
• Mặt đế: Hợp kim nhôm 
• Chức năng: Ủi khô 
• Tiện ích: Có rãnh cúc tiện lợi; Không xoắn dây (dây nguồn xoay 360 độ) 
• Kích thước: Ngang 25 cm - Cao 13 cm - Sâu 11.2 cm 
• Khối lượng: 0.7 kg 
• Thương hiệu của: Singapore
giá: 376860",376860,23
1,/input/mobile_images/2024/1/23/525/Bàn ủi hơi nước Philips GC1740-20.jpg,571578,Bàn là,M&EGD000254,463300,509630,4633,Giá trị đơn hàng > 10 triệu,473500,520850,9470,Giá trị đơn hàng từ 5-10 triệu,513600,564960,"28761,6",Bàn ủi hơi nước Philips GC1740/20 2000W,"
• Màu sắc: Xanh dương nhạt 
• Loại bàn ủi: Hơi nước 
• Chiều dài dây dẫn: 1.9m 
• Chất liệu đế: Chống dính 
• Công suất: 2000W 
• Dung tích bình nước: 220 ml 
• Tự làm sạch: Tự làm sạch - chống đóng cặn 
• Điều chỉnh hơi nước: Ủi khô, Ủi hơi nước, Phun tia, Phun hơi tăng cường 
• Khối lượng sản phẩm (kg): 1.01 kg 
• Kích thước sản phẩm: 290 x 156 x 129 mm
giá: 564960",564960,54
2,/input/mobile_images/2024/3/2/162/17f821b4-7d00-4749-bcfd-09b1f7206026 (1).jpg,622476,"Bàn ủi, Máy sấy tóc",M&EGD000251,288900,317790,2889,Giá trị đơn hàng > 10 triệu,295300,324830,5906,Giá trị đơn hàng từ 5-10 triệu,320300,352330,"17936,8",Máy sấy tóc 1200W Philips BHC010/10,"
• Công suất: 1200W 
• Tốc độ sấy: 2 tốc độ, có sấy mát 
• Đầu sấy: Đầu sấy hẹp 
• Kiểu dáng: Tay cầm gấp gọn 
• Chế độ bảo vệ: Tự ngắt khi quá nhiệt; Chế độ sấy bảo vệ tóc 
• Tiện ích: Có móc treo 
• Kích thước: Ngang 11.4 cm 
• Cao 22 cm 
• Rộng 7.7 cm 
• Khối lượng: 370g 
• Chiều dài dây điện: 150 cm 
• Thương hiệu của: Hà Lan
• Hãng: Philips.
giá: 352330",352330,6
50,/input/mobile_images/2024/1/23/601/Máy sấy quần áo Electrolux 8.5 kg EDV854J3WB Trắng.jpg,571583,Máy Sấy,M&EGD000249,8586200,9444820,85862,Giá trị đơn hàng > 80 triệu,8774200,9651620,175484,Giá trị đơn hàng từ 50-80 triệu,9518400,10470240,"533030,4",Máy sấy quần áo Electrolux 8.5 kg EDV854J3WB Trắng,"
• Màu sắc: Trắng 
• Xuất xứ: Thái Lan 
• Năm ra mắt: 2022 
• Thời gian bảo hành: 24 Tháng 
• Công nghệ Inverter: Không có 
• Loại máy sấy: Cửa ngang 
• Khối lượng sấy: 8.5Kg 
• Công suất: Công suất tiêu thụ 2250 W 
• Kiểu sấy: Sấy thông hơi 
• Tốc độ sấy: 3 mức 
• Chất liệu lồng sấy: Thép không gỉ 
• Số chương trình: 12 chương trình 
• Nhiệt độ sấy: tăng cường, trung bình, sấy gió 
• Loại điều khiển: Núm vặn và nút cảm ứng 
• Màn hình hiển thị: Điện tử 
• Hẹn giờ: Có 
• Khoá an toàn: Có 
• Ngôn ngữ hiển thị: Tiếng Việt 
• Khối lượng sản phẩm (kg): 32.5 kg 
• Kích thước sản phẩm: 850 x 596,5 x 625 mm
giá: 10470240",10470240,6
