,LINK_SP,PRODUCT_INFO_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,COMMISSION_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD
16,/input/mobile_images/2024/3/7/849/CÔNG TẮC CẢM ỨNG 1 NÚT CHỮ NHẬT - 2 DÂY MÀU TRĂNG.png,628018,"Công tắc, ổ cắm thông minh",SMCTC000044,,,,,,,,,,,,Công tắc cảm ứng 1 nút chữ nhật - 2 dây màu trắng,"THÔNG SỐ KỸ THUẬT 
    • Điện áp hoạt động: 100-250V / 50-60Hz 
    • Nhiệt độ hoạt động: 0oC ~ 65oC 
    • Công suất chịu tải tối đa: ≤ 700 W/Line 
    • Chuẩn kết nối Zigbee 
    • Khoảng cách điều khiển tối đa: 15-20m (tùy thuộc địa hình lắp đặt)
giá: 1063000",1063000,12
15,/input/mobile_images/2024/3/7/346/CÔNG TẮC CẢM ỨNG 2 NÚT CHỮ NHẬT - 2 DÂY MÀU TRĂNG.png,628019,"Công tắc, ổ cắm thông minh",SMCTC000045,,,,,,,,,,,,Công tắc cảm ứng 2 nút chữ nhật - 2 dây màu trắng,"THÔNG SỐ KỸ THUẬT 
    • Điện áp hoạt động: 100-250V / 50-60Hz 
    • Nhiệt độ hoạt động: 0oC ~ 65oC 
    • Công suất chịu tải tối đa: ≤ 700 W/Line 
    • Chuẩn kết nối: Zigbee 
    • Khoảng cách điều khiển tối đa: 15-20m (tùy thuộc địa hình lắp đặt)
giá: 1106000",1106000,8
14,/input/mobile_images/2024/3/7/262/CÔNG TẮC CẢM ỨNG 3 NÚT CHỮ NHẬT - 2 DÂY MÀU TRĂNG.png,628020,"Công tắc, ổ cắm thông minh",SMCTC000046,,,,,,,,,,,,Công tắc cảm ứng 3 nút chữ nhật - 2 dây màu trắng,"THÔNG SỐ KỸ THUẬT 
    • Điện áp hoạt động: 100-250V / 50-60Hz 
    • Nhiệt độ hoạt động: 0oC ~ 65oC 
    • Công suất chịu tải tối đa: ≤ 700 W/Line 
    • Chuẩn kết nối: Zigbee 
    • Khoảng cách điều khiển tối đa: 15-20m (tùy thuộc địa hình lắp đặt)
giá: 1169000",1169000,12
13,/input/mobile_images/2024/3/7/286/CÔNG TẮC CẢM ỨNG 4 NÚT CHỮ NHẬT - 2 DÂY MÀU TRĂNG.png,628021,"Công tắc, ổ cắm thông minh",SMCTC000047,,,,,,,,,,,,Công tắc cảm ứng 4 nút chữ nhật - 2 dây màu trắng,"THÔNG SỐ KỸ THUẬT 
    • Điện áp hoạt động: 100-250V / 50-60Hz 
    • Nhiệt độ hoạt động: 0oC ~ 65oC 
    • Công suất chịu tải tối đa: ≤ 700 W/Line 
    • Chuẩn kết nối : Zigbee 
    • Khoảng cách điều khiển tối đa : 15-20m (tùy thuộc địa hình lắp đặt)
giá: 1254000",1254000,8
12,/input/mobile_images/2024/3/7/891/BỘ ĐIỀU KHIẾN TRUNG TÂM HOME CONTROLLER(HC).png,628014,"Công tắc, ổ cắm thông minh",SMBDK000011,,,,,,,,,,,,Bộ điều khiển trung tâm Home Controller (HC),"THÔNG SỐ KỸ THUẬT 
Điện áp hoạt động: 12VDC – 0.5A 
Nhiệt độ hoạt động: 0oC ~ 50oC 
Độ ẩm hoạt động: 0 – 95% 
Chuẩn kết nối: Zigbee 
Kích thước (DxRxC): 120 x 80 x 24 mm 
Bảo hành: 24 tháng
giá: 2277000",2277000,6
